title,author,book_url,date_pub,date_finished,date_started,num_pages,my_rating,review,shelves,progress_json,genres,language
"The Witching Hour (Lives of the Mayfair Witches, #1)","Rice, Anne",https://www.goodreads.com/book/show/11901.The_Witching_Hour,"Oct 01, 1990","Aug 14, 2016","Jan 09, 2016",1,3,NA,read,"[{""date"":""January 9, 2016"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 9, 2016"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 9, 2016"",""page"":269,""percent"":22.12,""event"":null},{""date"":""August 14, 2016"",""page"":null,""percent"":null,""event"":""finished""}]",Horror; Fantasy; Fiction; Paranormal; Witches; Supernatural; Gothic; ...more,English
Information Anxiety 2,"Wurman, Richard Saul",https://www.goodreads.com/book/show/259121.Information_Anxiety_2,"Dec 28, 2000","Dec 19, 2015","Sep 10, 2015",308,2,NA,read; information-design,"[{""date"":""September 10, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 10, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 10, 2015"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""December 19, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Design; Nonfiction; Psychology; Technology; Business; Science; Art Design,English
A Type Primer,"Kane, John",https://www.goodreads.com/book/show/1301883.A_Type_Primer,"Sep 22, 2002","Dec 19, 2015","Sep 26, 2015",NA,5,NA,read; typography,"[{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""December 19, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Design; Nonfiction; Art; Art Design; Reference; Creative,English
"Diagrams: A visual survey of graphs, maps, charts and diagrams for the graphic designer","Lockwood, Arthur",https://www.goodreads.com/book/show/4003936-diagrams,"Jun 01, 1969","Dec 19, 2015","Sep 10, 2015",144,5,NA,read; information-design,"[{""date"":""September 10, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 10, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 10, 2015"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""December 19, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",NA,English
Inside Paragraphs: typographic fundamentals,"Highsmith, Cyrus",https://www.goodreads.com/book/show/15772292-inside-paragraphs,2012,"Dec 19, 2015","Sep 26, 2015",102,3,NA,read; typography,"[{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""December 19, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Design; Art; Art Design; Nonfiction,English
"Muerte en Estambul (Kostas Jaritos, #5)","Markaris, Petros",https://www.goodreads.com/book/show/10501729-muerte-en-estambul,2008,Dec 2015,"Oct 02, 2015",241,4,NA,read,"[{""date"":""October 2, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""October 2, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""December 1, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Crime; Noir; Greece; Mystery; Thriller; Detective; Fiction; ...more,Spanish; Castilian
La barraca,"Blasco Ibáñez, Vicente",https://www.goodreads.com/book/show/729686.La_barraca,1898,"Sep 26, 2015","Sep 25, 2014",124,NA,NA,read,"[{""date"":""September 25, 2014"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 25, 2014"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 26, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Spanish Literature; Fiction; Spain; Classics; Drama; Novels; 20th Century; ...more,Spanish; Castilian
El vals lento de las tortugas,"Pancol, Katherine",https://www.goodreads.com/book/show/11312207-el-vals-lento-de-las-tortugas,2008,"Aug 09, 2015","Aug 05, 2015",634,3,NA,read,"[{""date"":""August 5, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 5, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 9, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; France; Roman; Romance; Contemporary; Chick Lit; Mystery; ...more,Spanish; Castilian
"Irène (Camille Verhœven, #1)","Lemaitre, Pierre",https://www.goodreads.com/book/show/19480636-ir-ne,"Jun 07, 2006","Aug 02, 2015",Aug 2015,398,4,NA,read,"[{""date"":""August 1, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 1, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 2, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Thriller; Crime; Mystery; Fiction; France; Mystery Thriller; Noir; ...more,English
La luz de Candela,"Carrillo, Mónica",https://www.goodreads.com/book/show/21871233-la-luz-de-candela,"Jan 01, 2014",Aug 2015,"Jul 31, 2015",229,3,NA,read,"[{""date"":""July 31, 2015"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 31, 2015"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 1, 2015"",""page"":null,""percent"":null,""event"":""finished""}]",Romance; Fiction; Erotic Romance; Chick Lit,Spanish; Castilian
